word,japanese
release,放出する
divide,分ける
enable,（人が）・・・できるようにする
judge,判断する
rely,頼る
engage,従事させる
shift,変える 移す
adopt,採用する
acquire,得る
expand,拡大する
refuse,拒む
strike,心を打つ
repeat,繰り返す
consume,消費する
confuse,混同する
select,選ぶ えり抜く
evolve,（徐々に）発展する
convince,納得[確信]させる
recall,思い出す
destroy,破壊する
preserve,保存する
organize,準備する
warn,（人）に警告[注意]する
address,（問題など）に対処する
operate,操作する
participate,参加する
surround,取り巻く
flow,流れる
bore,（人）を退屈させる うんざりさせる
complain,不平[苦情]を言う
host,主催する
combine,結び付ける
extend,伸[延]ばす
appreciate,正当に評価する
target,（到達・攻撃）目標
element,要素 成分
principle,原則 原理
phenomenon,現象
atmosphere,大気
origin,起源
personality,個性 性格
capacity,（最大）容量 収容能力
profit,利益
circumstance,状況 事情
manner,作法
threat,脅威
resident,居住者
wealth,富
institution,機関
authority,（関係）当局
vote,投票
sight,光景
campaign,運動
fund,基金 資金
web,ウェブ
symbol,象徴 シンボル
analysis,分析（結果）
version,（本・製品などの）版
perspective,観点 見方
crisis,危機
disaster,災害
lecture,講義 講演
psychology,心理学
gender,（社会的・文化的）性、性別
custom,（社会的な）慣習
court,裁判所 法廷
desert,砂漠
soil,土地、土壌
agriculture,農業
fossil,化石
document,（公）文書 書類
vocabulary,語彙
intelligent,聡明な
conscious,意識して 気づいて
capable,能力がある
accurate,正確な
fundamental,基本的な
artificial,人工の
firm,確固たる
overall,総合的な
rural,田舎の 田園の
military,軍の 軍事（用）の
nuclear,核の 原子力の
biological,生物学（上）の
constant,絶え間ない
severe,"（人・規律・事態・
天気などが）厳しい"
visual,視覚の
enormous,莫大な 巨大な
convenient,便利な 都合の良い
domestic,家庭の
mass,大規模な 大量の
typical,典型的な
overseas,海外へ[に、で]
nevertheless,それにもかかわらず
demonstrate,論証[証明]する
behave,振る舞う
educate,教育する
purchase,購入する
recommend,勧める
admit,（しぶしぶ）認める
generate,生み出す
explore,調査[探求]する
amaze,びっくりさせる
tear,引き裂く
settle,解決する
afford,持つ[する]余裕がある
conclude,結論づける
advertise,宣伝する
encounter,遭遇する
remind,思い出させる
locate,位置する
aid,援助する 助ける
bite,かむ かみつく
deliver,配達する
perceive,気づく
distinguish,区別する
imply,暗に意味する
handle,処理する 扱う
praise,賞賛する
appeal,訴える
insist,強く主張する
compete,競う
rank ,位置づける 評価する
deny,否定する
reject,拒否する
intend,意図する
expose,さらす
favor,賛成する
inspire,（人を）奮起させる
propose,提案する
spell,（語を）つづる
breathe,呼吸する
repair,修理する
consist,（～から）成る
comment,意見 コメント
instruction,指示
religion,宗教
neighborhood,地域
laboratory,実験室 研究室
presence,存在
confidence,自信
harm,害 損害
instrument,器具
category,部類 区分
capital,資本
outcome,結果
notion,概念
review,（書物などの）論評
trait,特性
diversity,多様性
victim,犠牲（者） 被害者
occasion,場合 時
facility,施設 設備
stock,在庫品
conference,会議
humanity,人類
dialect,方言
proportion,割合
tip,助言 秘訣
lawyer,弁護士
stuff,（漠然と）物
comfort,快適さ
philosophy,哲学
mammal,哺乳動物
quantity,量
landscape,風景
tribe,部族
organ,器官 臓器
trial,試み （品質・性能などの）試験
norm,規範
code,規範
substance,物質
multiple,多様な
numerous,非常に数の多い
narrow,狭い
widespread,広範囲にわたる
sufficient,十分な
proper,適切な
linguistic,言語の 言語学の
annual,年一回の 例年の
contemporary,現代の
contrary,反対の
strict,（規則などが）厳しい
civil,市民の
odd,奇妙な
unknown,不明の
superior,よりすぐれた
sensitive,敏感な
violent,（人・気質などが）激しい
virtual,仮想の
regardless,かまわない 無頓着な
immediate,即座の
crucial,重要な
somewhat,いくぶん 多少
interpret,解釈する
translate,翻訳する
concentrate,集中する
request,頼む
criticize,批判する
overcome,克服する
obtain,得る
inform,知らせる
ensure,確実にする
announce,発表[公表]する 知らせる
grant,（人に）（許可・権利などを）与える
freeze,凍る
oppose,反対する
differ,異なる
hate,ひどく嫌う
emphasize,強調する
employ,雇う
credit,（功績など）を帰する
transform,変える
construct,建設する
arise,生じる
beat,打ち負かす
regret,後悔する
alter,変える
absorb,吸収する
disappoint,失望させる
cure,治す
transport,輸送する
rush,急いで行く
hang,掛ける
blame,責める
ban,（法的に）禁止する
fascinate,魅了する
recover,回復する
celebrate,祝う
manufacture,製造する
interact,影響し合う
arrange,段取りをつける
adjust,調整する
confirm,確認する
insight,見識 理解（力）
innovation,革新
budget,予算
fee,料金
expense,経費
debt,借金 負債
loan,貸付金 融資
duty,義務
alarm,不安 恐れ
emergency,緊急（事態）
democracy,民主主義 民主政治
minister,大臣
fellow,仲間 同僚
candidate,候補（者）
corporation,（大）企業
stereotype,固定観念
route,道（筋）
disorder,障害（心身の）不調
depression,憂うつ
weapon,兵器 武器
immigration,（他国からの）移民 移住
barrier,障壁
disadvantage,不利（な点）
mood,気分
motion,動き 動作
routine,決まり切った仕事
discipline,規律 しつけ
myth,作り話
hypothesis,仮説
physician,医師
client,顧客
colony,植民地
statistics,統計
grain,穀物
ingredient,材料 成分
treasure,宝物 財宝
contract,契約（書）
welfare,福祉 幸福
prime,主要な 最も重要な
curious,好奇心の強い
dramatic,劇的な
distinct,明らかに異なる
anxious,心配して
vital,必要不可欠な
conventional,従来の
abstract,抽象的な
minor,重要でない
extraordinary,並はずれた
stable,安定した
flexible,融通の利く 柔軟な
brief,簡潔な
aggressive,攻撃的な
visible,（目に）見える
unexpected,思いがけない 不意の
ethnic,民族の 人種の
alien,異質の
initial,初めの
exact,正確な
precise,正確な
latter,後者の 後半の
commit,献身する
stimulate,刺激する
enhance,（価値などを）高める 増す
pursue,追求する
react,反応する
disagree,不賛成である
stare,じっと見る
abandon,捨てる
quit,やめる
capture,とらえる
transfer,移す
bother,悩ます
persuade,説得する
rent,賃借りする
breed,繁殖させる 育てる
invest,投資する
reserve,予約する
trace,（足跡・起源などを）たどる
illustrate,説明する
advise,忠告[助言]する
convey,伝える
attach,（取り）付ける
stretch,伸ばす
puzzle,当惑させる
disturb,かき乱す
crash,衝突する 堕落する
cope,うまく処理する
permit,許可する
impress,感動させる
suspect,ではないかと思う
upset,動揺させる
frighten,（人を）怖がらせる
import,輸入する
export,輸出する
investigate,調査する
monitor,監視する
calculate,計算する
eliminate,取り除く
ease,軽減する
launch,開始する
sequence,連続
therapy ,療法
symptom,症状
incident,出来事 事件
witness,目撃者
sum,（金）額
burden,負担
tone,口調
honor,光栄
award,賞
priority,優先（事項）
logic,論理
minimum,最小限度
exception,例外
clue,手がかり
bond,絆
virus,ウイルス
surgery,（外科）手術
insurance,保険
frame,枠 （額）縁
shelter,避難（所） 保護
territory,領土
boundary,境界（線）
habitat,生息地
district,地区
conservation,（動植物などの）保護
harvest,収穫（物）
predator,捕食動物
trap,わな
trick,こつ
fault,責任
discount,割引
bias,偏見
cooperation,協力 共同
patent,特許（権）
dialogue,対話 会話
component,構成要素
reputation,評判
verbal,言葉の
internal,内部の
solid,しっかりした
remote,遠く離れた
principal,主要な
sophisticated,高性能の 精巧な
equivalent,等しい 相当する
rational,理性的な
relevant,関係がある
absolute,絶対的な
frequent,頻繁な
permanent,永続的な
intense,強烈な
meaningful,意味のある
evil,邪悪な
extinct,絶滅した
random,無作為の
raw,生の
rude,無礼な
mere,単なる ほんの
tropical,熱帯の
forth,前へ 先へ
possess,所有している
dominate,支配する
guarantee,保証する
melt,溶ける
embarrass,恥ずかしい思いをさせる
discourage,（人に）やる気をなくさせる
detect,感知する
devote,ささげる
urge,（強く）促す
lend,貸す
restrict,制限する
isolate,孤立させる
accompany,同行する
exhaust,疲れ果てさせる
annoy,悩ます
endanger,危険にさらす
acknowledge,（事実などを）認める
admire,敬服[感心]する
evaluate,評価する
declare,宣言する
secure,確保する
specialize,専門とする
attribute,（結果などを)帰する
pretend,ふりをする
bury,埋める
reverse,逆転させる
resist,抵抗する
scare,おびえさせる
imitate,まねる
assist,援助する
resemble,似ている
retire,引退する 退職する
neglect,おろそかにする 怠る
collapse,崩壊する
reform,改革する
protest,抗議する
owe,借りがある
sustain,持続させる
assign,割り当てる
accomplish,成し遂げる
wisdom,知恵
literacy,読み書きの能力
heritage,遺産
mission ,使命
license,免許（証）
elite,エリート
layer,層
motor,モーター
protein,タンパク質
profession,職業
editor,編集者
agent,仲介者 代理人
globe,地球 世界
haven,避難所 保護区
row,列
sacrifice,犠牲
means,手段
session,集まり
league,（競技）連盟
contest,コンテスト 競技（会）
guard,警備員
opponent,（試合・論争などの）相手
glance,ちらっと見ること
divorce,離婚
tissue,（生物の）組織
liquid,液体
inequality,不平等
prejudice,偏見
justice,公正 正義
guideline,指針 ガイドライン
platform,プラットフォーム
sector,（社会・経済などの）部門、セクター
channel,チャンネル
glacier,氷河
primate,霊長類の動物
usage,（使）用法
fortune,財産
correlation,相互関係 相関（関係）
artistic,芸術的な
literary,文学の
classic,第一級の
liberal,自由主義の
concrete,具体的な
slight,わずかな
federal,連邦（政府）の
primitive,原始的な
unfamiliar,不慣れな
subtle,微妙な
plain,明らかな
marine,海の
apparent,明白な
reluctant,気が進まない 嫌がる
temporary,一時的な
guilty,罪悪感のある
royal,王の
pure,純粋な
incredible,信じられない
eager,熱望して
adequate,十分な
via,経由で
assess,を評価する；を査定する
approve,賛成する；を承認する
remark,と述べる；(～について)意見を述べる(on / upon)
pose,(危険)を引き起こす；(問題など)を提起する；ポーズをとる；(～を)装う(as)
yield,をもたらす；を(～に)譲る(to)；(～に)屈する(to)
exhibit,を示す，見せる；を展示する
distribute,を(～に)分配する(to)；〔受身形で〕分布する
command,を命じる；を指揮する；(景色)を見渡せる
occupy,(空間・時間)を占める；を占領する
pop,ひょいと動く；不意に現れる；ポンとはじける
pile,を積み重ねる；積み重なる
greet,に挨拶する；を迎える
apologize,(～に；～のことで)謝る(to；for)；弁明する
frustrate,をいら立たせる；(計画・希望など)を挫折させる
relieve,を和らげる；〔受身形で〕(…して)安心する(to do)；を解放する
derive,由来する；を引き出す；を推論する
deserve,に値する
peer,(～を)じっと見る(at / into)
defeat,を負かす；を失敗させる
convert,を変える；を改宗［転向］させる；を交換する
wed,と結婚する；を(～と)結婚させる(to)
delight,を喜ばせる；(～を)大いに喜ぶ(in)
boost,を押し上げる；を増加させる
endure,に耐える；(に)持ちこたえる
correspond,一致する；(～に)相当する(to)；文通する
impose,を課す；を押しつける
rescue,を救う
resolve,を解決する；を決意する；を議決する
register,を記録する，登録する；(～に)登録する(for)
interrupt,を中断させる；(の)邪魔をする
rid,から(～を)取り除く，除去する(of)
prohibit,を禁止する
compose,を構成する；を創作する；を鎮静する
misunderstand,(を)誤解する
punish,を罰する；に損傷を与える
ruin,をだめにする；を破滅させる；破滅する
defend,を防御する；を弁護する
embrace,を受け入れる；(を)抱擁する；を包含する
modify,を修正する；を緩和する
qualify,(人)に資格を与える；資格がある
passion,情熱；熱中；激怒
enthusiasm,(～への)熱情，熱意(for)
phase,段階，局面；側面
mode,方式；気分；形態；流行
span,期間；範囲
gravity,重力，引力；重量；重大さ
orbit,軌道；(活動・勢力などの)範囲
asteroid,小惑星；ヒトデ
core,核心；芯
soul,精神；魂，霊魂；生気
nerve,神経；〔～s〕神経過敏；(…する)度胸(to do)
infection,感染(症)
mall,【主に米】 モール，ショッピングセンター
grocery,〔～s〕食料雑貨；食料雑貨店
humor,ユーモア；気分，機嫌；気質
instinct,本能；勘，直感；(自然に起こる)衝動
faith,(～への)信頼(in)；信仰(心)
courage,勇気
incentive,動機(づけ)；報奨金
prospect,見込み；〔～s〕(未来への)展望；有望な人
obstacle,(～に対する)障害(物)(to)
architecture,建築；建築様式；構造
stem,(草木の)茎，幹
illusion,錯覚，思い違い；幻想
discrimination,(～に対する)差別(against)；区別
shame,恥；残念なこと
drought,干ばつ；(慢性的な)不足
flavor,風味；特色
portion,部分；1人前；割り当て
recipe,調理法，レシピ；手順；秘訣
luxury,ぜいたく(品)；〔形容詞的に〕豪華な
chip,小片，破片；欠けた箇所；集積回路
ritual,儀式；(日常の)習慣的行為
sake,〔for the ～ ofで〕のために，の目的で；に免じて
prefecture,(日本の)県，府；(フランスなどの)県
council,(地方)議会；評議会；(公の)会議
administration,管理(部)；行政；政府(機関)
curriculum,教育課程，カリキュラム
precious,貴重な；高価な
generous,寛大な；気前のよい；豊富な
casual,何気ない；形式ばらない
optimistic,楽観的な
rough,粗い；大まかな；乱暴な
unpleasant,不愉快な；不親切な，無礼な
Arctic,北極の
ultimate,究極の
deaf,耳が聞こえない
genuine,本物の；偽りのない
manual,体［手］を使う；手の；手動式の
mechanical,機械の；機械的な
instant,即時の，すぐの；即席の
spare,余分の，予備の
immune,(～に対して)免疫を持つ(to)；(～を)免れた(from)
harsh,厳しい；(光・色・味などが)不快な
collective,集団の，共同の
inevitable,避けられない
profound,重大な；深い；難解な
steady,着実な，一定の；安定した
mature,成熟した；熟した
likewise,同様に
chase,(を)追跡する；(を)追求する
sue,を告訴する；(～を求めて)訴訟を起こす(for)
gaze,じっと見る
slip,滑る；滑り落ちる；そっと動く
load,に積む；に負わせる
overwhelm,を圧倒する；を(精神的に)打ちのめす
wander,歩き回る；それる；はぐれる
float,漂う，浮かぶ；を浮かべる
pour,を注ぐ；激しく降る；押し寄せる
substitute,を代わりに使う；(～の)代理をする(for)
pronounce,を発音する；を宣言する
shrink,縮む，縮小する；減少する；ひるむ
restore,を回復させる；を修復する
trigger,を引き起こす；のきっかけとなる
grab,をつかむ；を横取りする；を急いで食べる
retain,を保持する；を覚えている
reproduce,を複製する；を繁殖させる；繁殖する
bob,上下に動く；急に動く；を上下に動かす
entertain,を楽しませる；をもてなす
interfere,干渉する，介入する；邪魔する
cultivate,を養う；を耕す；を栽培する
underlie,の根底にある
anticipate,を予期する；楽しみに待つ
justify,を正当化する
regulate,を規制する；を調整する
scan,を走査［スキャン］する；をざっと見る；を注意深く調べる
classify,を分類する；を機密扱いにする
submit,を提出する；〔＋oneselfで〕(～に)従う(to)
pause,(一時的に)中止する；(一瞬)立ち止まる
lean,傾く；寄りかかる；をもたせかける
bump,ぶつかる；をぶつける
fold,を折り畳む；(両腕)を組む；(折り)畳める
hesitate,躊躇する，ためらう
pump,(液体・気体)をポンプで送り込む；をくみ出す；を注ぎ込む
mount,を据えつける；に着手する；(自転車など)に乗る；増える
exceed,を超える；に勝る
undergo,を経験する；(手術など)を受ける；に耐える
confront,に立ち向かう；(困難などが)に立ちはだかる
consult,(に)相談する；を参照する
fulfill,を実現させる；を果たす；を満たす
privilege,特権，特典
formation,形成；構成(物)；隊列
dimension,側面，局面；次元；寸法
neuron,ニューロン，神経単位
sensation,感覚；大評判
chart,図，グラフ；海図；ヒットチャート
geography,〔the ～〕地理；地理学
panel,(専門家の)一団；討論者一同；羽目板
semester,【主に米】 (2学期制の)学期
workforce,労働人口，総労働力；全従業員(数)
mill,製造工場；製粉所；粉ひき機
abuse,乱用；虐待
vice,(道徳上の)悪；欠点
fate,運命；結末；最期
tragedy,悲劇(的な事態)
scenario,(予想される)筋書き，事態；脚本
allergy,アレルギー
wound,(銃弾・刃物などによる)傷；痛手
antibiotic,〔通例～s〕抗生物質
vaccine,ワクチン
metaphor,隠喩；比喩
folk,人々；〔～s〕皆さん；〔one’s ～s〕家族
fare,(乗り物の)料金
transition,移り変わり；過渡期
maximum,最大限
galaxy,星雲，銀河；〔the G～〕銀河系
mineral,鉱物；ミネラル
skeleton,骨格；骨組み；概略
counterpart,相当する物［人］
stroke,脳卒中；(ボールを)打つこと；(雷などの)一撃
pedestrian,歩行者
trail,(野山などの)小道；跡；手がかり
ecology,生態学；生態系；環境保護
sibling,きょうだい(の1人)
ratio,比率
mixture,混合(物)
charm,魅力；お守り
ambition,(～に対する)願望，野望(for)；野心
prominent,卓越した；目立つ
radical,急進的な；根本的な
prompt,即座の，迅速な
informal,形式ばらない，略式の；(言葉が)くだけた
mutual,相互の；共通の
neutral,中立の；(特徴・表情などが)はっきりしない
alert,警戒して；敏速な
magnetic,磁気の；磁石の；人を引きつける
polar,極地の；電極の
fluent,流ちょうな
external,外部の；対外的な
passive,受動的な；消極的な
awful,ひどい；嫌な；ものすごい
unrelated,無関係の；血縁関係がない
cruel,残酷な；むごい
fake,偽の；見せかけだけの
vulnerable,(攻撃などに)弱い，もろい；傷つきやすい
urgent,緊急の
spiritual,精神の；霊的な
modest,謙虚な；適度な；質素な
keen,熱心な；鋭敏な；(感情・関心などが)強い
nonetheless,それにもかかわらず，それでもなお
negotiate,交渉する；を(交渉して)取り決める
grasp,を把握［理解］する；をしっかり握る
donate,を寄付する；(臓器・血液)を提供する
arrest,を逮捕する；を止める；(注意)を引く
crack,ひびが入る；にひびを入れる
tap,を軽くたたく；(液体)を出す；を盗聴する
split,を分割する；を分担する；分裂する
forecast,を予想［予測］する
exclude,を除外する
overlook,を見落とす；を大目に見る；を見渡す
burst,破裂する；(～を)突然始める(into)
heal,(人・傷など)を治す；治る
forbid,を禁じる
install,をインストールする；を設置する；を就任させる
diminish,を減らす；減少する
cite,を引き合いに出す；を引用する
quote,を引用する；を引き合いに出す
dispute,に異議を唱える；(を)議論する
highlight,を目立たせる、強調する
distract,(注意など)をそらす
cheat,をだます；不正をする
foster,をはぐくむ；を養育する；を心に抱く
obey,に従う；に服従する
bend,を曲げる；を屈服させる；曲がる
deprive,から(権利などを)奪う
govern,(を)統治する、支配する
log,〔＋onで〕ログオンする；を記録する
transmit,を伝える；(電波・信号など)を送る
bully,をいじめる；を脅す
leap,跳ぶ；さっと動く；急上昇する
astonish,を驚かす
thrill,をぞくぞくさせる；わくわくする
nod,うなずく；会釈する；うとうとする
bow,おじぎする；屈服する
blend,を混ぜる；を調和させる；(～に)溶け込む(into)
complicate,を複雑にする
pitch,を投げる；倒れる；縦揺れする
persist,続く；固執する
dedicate,をささげる；を献呈する
equip,に備えつける
premise,前提；〔～s〕(建物を含めた)構内、敷地
input,入力(情報)、投入；(情報・時間などの)提供
merit,利点；功績；真価
sympathy,同情；(～に対する)共感(with/for)
compliment,賛辞；表敬
infrastructure,インフラ、基本的施設；(経済)基盤
ray,光線；ひらめき、一筋の光明
distress,苦悩；苦痛；困窮
joint,関節；接合(部)
expedition,遠征(隊)、探検(隊)
adolescent,青年；青年期の
shade,(日)陰；色合い；日よけ；微妙な相違
jury,陪審(員団)；審査員団
ethic,倫理、道徳；〔～s〕倫理［道徳］規範
penalty,(刑)罰；罰金；ペナルティー
faculty,能力、機能；学部；教授陣
scheme,計画；体系；陰謀
nutrition,栄養(の摂取)
particle,(微)粒子；ほんのわずか
molecule,分子；微粒子
nationality,国籍；国民；国民性
poll,世論調査；投票(数)
clinic,診療所、クリニック；(病院内の)～科
dementia,認知症
fatigue,疲労
dilemma,ジレンマ、板ばさみ
queue,【英】(順番を待つ)列
curve,(道路などの)カーブ；曲線
narrative,物語、話；(小説の)叙述部分、地の文
fingerprint,指紋
file,ファイル；(書類の)とじ込み
wilderness,荒野；(庭・町などの)放置された部分
pesticide,殺虫剤；除草剤
panic,パニック(状態)；狼狽
fabric,織物、布(地)；構造
fantasy,空想；幻想；幻想的作品
fancy,(気まぐれな)好み；空想；思いつき
virtue,美徳；長所；効能
grateful,感謝している
valid,妥当な；有効な
elaborate,入念な；凝った
moderate,適度な；穏健な
dynamic,活動的な、精力的な；動的な
brave,勇敢な；見事な
brilliant,すばらしい；才能にあふれた；きらめく
tremendous,途方もない、莫大な；すばらしい
oral,口頭の
innocent,無罪の；無邪気な；無知の
subsequent,その後の
shallow,浅い；浅薄な
indifferent,無関心な
inferior,より劣った
awkward,気まずい；ぎこちない；厄介な
obese,肥満した
pregnant,妊娠した；(～で)満ちている(with)
intimate,親密な；密接な
medieval,中世の；時代遅れの
sacred,神聖な；宗教的な；厳粛な
simultaneously,(～と)同時に(with)；一斉に
versus,〔A ～ Bで〕A対B；AかBか
proceed,進む，進行する；(～を)続行する(with)
orient,(人)を(環境などに)慣らす(to)；[受身形で](関心などが)(～に)向いている(to/toward)
surf,(インターネット上の情報など)を見て回る；サーフィンをする
filter,をろ過する；を取り除く
bind,を縛る；を束縛する；を結び付ける
resort,(好ましくない手段に)訴える，頼る(to)
reinforce,を強化する；を補強する
accumulate,を蓄積する，集める；積もる
bet,と確信する，断言する；(金などを)かける
advocate,を主張する；を擁護する
constitute,を構成する；になる，に等しい
undertake,を引き受ける；を保証する；に着手する
grip,を握る；をとらえる
dismiss,(意見など)を退ける；を解雇する
fade,薄れる；衰える
conceal,を隠す；を秘密にする
chew,(を)かむ；をかみ砕く
swallow,(を)飲み込む；をうのみにする；に耐える
seal,を密閉する；に封をする
migrate,移住する；(鳥などが)渡る
exaggerate,(を)誇張する；を強調する
accuse,を非難する；を告訴する
vanish,消える
polish,を磨く；を洗練させる
wipe,を拭く；を拭き取る；を消し去る
sweep,(を)掃く；を一掃する；さっと通過する
mislead,を誤解させる，欺く；(人)を間違った方向に導く
spoil,を台無しにする；を甘やかす；だめになる
compound,を悪化させる；を合成する；を混合する
explode,爆発する；急増する；を論破する
disgust,をむかつかせる；に愛想を尽かせる
commute,通勤［通学］する
decorate,を装飾する
postpone,を延期する
cease,をやめる；終わる
compromise,妥協する；を危うくする
elect,を選出する
extract,を取り［搾り］出す；を抜粋する
inherit,を受け継ぐ；を相続する
rear,(人・動物・植物)を育てる
empathy,感情移入，共感
cue,合図；手がかり；(次の演技の)キュー
enterprise,企業，事業；企画；進取の気性
output,生産(高)；出力；排出(量)
congress,(米国などの)議会；会議
millennium,千年間，千年紀
mankind,人類
Muslim,イスラム教徒
estate,(動産・不動産などの)財産；私有地
landmine,地雷
caution,用心；警告
controversy,論争
consensus,総意；(意見の)一致
retail,小売り
fiber,繊維(質)；本質；精神力
scent,(よい)香り；香水
beverage,(水以外の)飲み物，飲料
supplement,栄養補助剤，サプリメント；補足
diabetes,糖尿病
province,州，省；〔the ～s〕地方；分野
reef,(岩や砂の)礁；暗礁
microbe,微生物；細菌
excess,過剰，超過
gallery,美術館，画廊；観客，ギャラリー；回廊
fame,名声
deadline,締め切り
undergraduate,学部学生
slavery,奴隷制度；苦役
prey,獲物；犠牲者
mess,散らかった状態［物］；混乱状態
recession,不況；後退
retreat,後退，退却；(計画・決定などの)撤回
grave,墓；〔通例the ～〕死
column,コラム；(新聞などの)欄；円柱；(縦)列
scenery,〔集合的に〕景色；背景
plot,(小説などの)筋；陰謀
sculpture,彫刻(作品)
tablet,タブレット(型情報端末)；錠剤；平板
dense,密集した，密度の高い；(霧などが)濃い
exotic,外来の；異国風の
acid,酸性の；酸っぱい；辛辣な
bitter,苦い，つらい；辛辣な；怒りっぽい
sensible,賢明な；実用的な；顕著な
noble,高貴な；堂々とした；高潔な
vague,漠然とした，あいまいな；おぼろげな
